abstract_id,text,location,label,abbr,masked_text
2218059,differentiated epithelial cells in contactinhibited monolayers derived from AD rat liver have been transformed in vitro into epithelioid neoplastic cells under conditions of nutritional stress the transformed cells maintain their differentiated SQ and manufacture SS proteins they differ from control cultures in the following properties they are aneuploid can be agglutinated by wheatgerm agglutinin and concanavalin a can grow in suspension and are able to form colonies in semisoft agar there is no IC at tension increased little during slow stretching but rose steeply during a more rapid stretch intermediate states were also seen both these reflex patterns were abolished when the fusimotor MF were blocked with xylocaine at low frequencies of stretching the emg activity was greatest at peak ML at higher frequencies the greatest activity was found during lengthening this angular advance of emg activity on length was greatest at cs at the higher frequencies the emg activity was less in advance of ML angular advance of emg activity was greatest in the preparations that were also the most CS to slow stretching muscle contraction follows an electrical CS- with a small delay the delay between the end of stimulation and the end of muscle relaxation is longer and may exceed msec in cat soleus the timing of the reflex tension during sinusoidal stretching depended on how far the angular advance of the emg combined with the damping properties of muscle offset the time delays in the reflex pathway changes in muscle tension generally preceded changes in muscle length when however stretch amplitudes of mm peak to peak were used a phase delay of tension was sometimes seen this only occurred in preparations that also showed little sensitivity to slow stretching phase delay of tension was usually found with frequencies of approximately cs and this corresponds to the clonus frequency for soleus the mechanisms of the two types of reflex behaviour and the damping properties of the system are discussed,[155],['muscle length'],ML,differentiated epithelial cells in contactinhibited monolayers derived from AD rat liver have been transformed in vitro into epithelioid neoplastic cells under conditions of nutritional stress the transformed cells maintain their differentiated SQ and manufacture SS proteins they differ from control cultures in the following properties they are aneuploid can be agglutinated by wheatgerm agglutinin and concanavalin a can grow in suspension and are able to form colonies in semisoft agar there is no IC at tension increased little during slow stretching but rose steeply during a more rapid stretch intermediate states were also seen both these reflex patterns were abolished when the fusimotor MF were blocked with xylocaine at low frequencies of stretching the emg activity was greatest at peak [MASK] at higher frequencies the greatest activity was found during lengthening this angular advance of emg activity on length was greatest at cs at the higher frequencies the emg activity was less in advance of [MASK] angular advance of emg activity was greatest in the preparations that were also the most CS to slow stretching muscle contraction follows an electrical CS- with a small delay the delay between the end of stimulation and the end of muscle relaxation is longer and may exceed msec in cat soleus the timing of the reflex tension during sinusoidal stretching depended on how far the angular advance of the emg combined with the damping properties of muscle offset the time delays in the reflex pathway changes in muscle tension generally preceded changes in muscle length when however stretch amplitudes of mm peak to peak were used a phase delay of tension was sometimes seen this only occurred in preparations that also showed little sensitivity to slow stretching phase delay of tension was usually found with frequencies of approximately cs and this corresponds to the clonus frequency for soleus the mechanisms of the two types of reflex behaviour and the damping properties of the system are discussed
8446259,we describe an outbreak of vomiting wasting and encephalomyelitis syndrome in piglets in argentina caused by porcine HA encephalomyelitis coronavirus phecov infection diagnosis was made by epidemiologic factors pathologic features immunohistochemistry reverse transcriptionpcr and genomic sequencing this T0 documents phecov infection in south america,[17],['hemagglutinating'],HA,we describe an outbreak of vomiting wasting and encephalomyelitis syndrome in piglets in argentina caused by porcine [MASK] encephalomyelitis coronavirus phecov infection diagnosis was made by epidemiologic factors pathologic features immunohistochemistry reverse transcriptionpcr and genomic sequencing this T0 documents phecov infection in south america
10269828,the digestion of food is known to alter the hemodynamics of the body significantly the purpose of this study was to study the postprandial changes in stroke volume sv cardiac output co and left VVI lv longitudinal systolic and diastolic functions measured with TD imaging in relation to GER ger satiety and glucose and insulin concentrations in healthy subjects,[48],['gastric emptying rate'],GER,the digestion of food is known to alter the hemodynamics of the body significantly the purpose of this study was to study the postprandial changes in stroke volume sv cardiac output co and left VVI lv longitudinal systolic and diastolic functions measured with TD imaging in relation to [MASK] ger satiety and glucose and insulin concentrations in healthy subjects
7373114,immediately following SE to light a postillumination burst of co has been detected in CAM plants a detailed study with pineapple ananas comosus leaves indicates that the postillumination burst changes its amplitude and kinetics during the course of a day in air the postillumination burst in pineapple leaves generally is exhibited as two peaks the postillumination burst is CS to atmospheric co and o concentrations as well as to the light intensity under which plants are grown we propose that the co released in the first postillumination burst peak is indicative of photorespiration since it is CS to either o or co concentration while the second co evolution peak is likely due to decarboxylation of organic acids involved in crassulacean acid metabolismin marked contrast to other higher plants the postillumination burst in CAM plants can be equal to or greater than the rate of photosynthesis photosynthesis in pineapple leaves also varies throughout a day both photosynthesis and the postillumination burst have a daily R2 which apparently is a complex function of degree of leaf pH growth CS intensity ambient gas phase and the time a plant has been exposed to a given gas,[132],['crassulacean acid metabolism'],CAM,immediately following SE to light a postillumination burst of co has been detected in [MASK] plants a detailed study with pineapple ananas comosus leaves indicates that the postillumination burst changes its amplitude and kinetics during the course of a day in air the postillumination burst in pineapple leaves generally is exhibited as two peaks the postillumination burst is CS to atmospheric co and o concentrations as well as to the light intensity under which plants are grown we propose that the co released in the first postillumination burst peak is indicative of photorespiration since it is CS to either o or co concentration while the second co evolution peak is likely due to decarboxylation of organic acids involved in crassulacean acid metabolismin marked contrast to other higher plants the postillumination burst in [MASK] plants can be equal to or greater than the rate of photosynthesis photosynthesis in pineapple leaves also varies throughout a day both photosynthesis and the postillumination burst have a daily R2 which apparently is a complex function of degree of leaf pH growth CS intensity ambient gas phase and the time a plant has been exposed to a given gas
817285,wholecell ca currents in cultured bovine BCC were studied using patchclamp EP with ba or ca as the current carriers two separate components of wholecell current could be distinguished by biophysical and pharmacological criteria these components of IT were different from t or ntype ca channels previously described as they were not inactivated at a holding potential of mv depolarization of the cells past mv in mmba activated a single component of ca current called the standard current this current showed no detectable voltagedependent inactivation but did show marked currentdependent inactivation as steadystate inactivation hinfinity plots obtained in the presence of ba were quite different from those obtained from ca in most BCC C1 predepolarizations or repetitive depolarizations in the physiological range activated a second component of ca current called facilitation facilitation was observed with either ca or ba as the charge carrier recruiting facilitation increased wholecell currents by an average of prepulses to mv lasting ms CR activated facilitation prepulses longer than ms started to inactivate facilitation while prepulses longer than ms completely inactivated this component of IT because only outward currents were recorded at mv it is likely that facilitation inactivated in a voltagedependent manner when the extracellular ba concentration was increased in the range from to mm activation of both facilitation and standard ca currents shifted in the ON direction in mmba facilitation activated at potentials mv more negative than the standard component while in mmba facilitation G1 at a potential about mv more depolarized than the standard component thus the voltage sensor for the facilitation IT appeared to sense more surface charge than did the standard IT tail currents measured at and mv in the absence of facilitation without prepulses showed one TC for current deactivation tail currents measured with both facilitation and standard currents activated showed a significantly slower deactivation rate than that seen with the standard current alone the dihydropyridine antagonist nisoldipine microm completely suppressed the facilitation IT even when cells were held at negative holding potentials mv in contrast the standard current was unaffected by micromnisoldipine even at depolarized holding potentials mvabstract truncated at words,[323],['ca current'],IT,wholecell ca currents in cultured bovine BCC were studied using patchclamp EP with ba or ca as the current carriers two separate components of wholecell current could be distinguished by biophysical and pharmacological criteria these components of [MASK] were different from t or ntype ca channels previously described as they were not inactivated at a holding potential of mv depolarization of the cells past mv in mmba activated a single component of ca current called the standard current this current showed no detectable voltagedependent inactivation but did show marked currentdependent inactivation as steadystate inactivation hinfinity plots obtained in the presence of ba were quite different from those obtained from ca in most BCC C1 predepolarizations or repetitive depolarizations in the physiological range activated a second component of ca current called facilitation facilitation was observed with either ca or ba as the charge carrier recruiting facilitation increased wholecell currents by an average of prepulses to mv lasting ms CR activated facilitation prepulses longer than ms started to inactivate facilitation while prepulses longer than ms completely inactivated this component of [MASK] because only outward currents were recorded at mv it is likely that facilitation inactivated in a voltagedependent manner when the extracellular ba concentration was increased in the range from to mm activation of both facilitation and standard ca currents shifted in the ON direction in mmba facilitation activated at potentials mv more negative than the standard component while in mmba facilitation G1 at a potential about mv more depolarized than the standard component thus the voltage sensor for the facilitation [MASK] appeared to sense more surface charge than did the standard [MASK] tail currents measured at and mv in the absence of facilitation without prepulses showed one TC for current deactivation tail currents measured with both facilitation and standard currents activated showed a significantly slower deactivation rate than that seen with the standard current alone the dihydropyridine antagonist nisoldipine microm completely suppressed the facilitation [MASK] even when cells were held at negative holding potentials mv in contrast the standard current was unaffected by micromnisoldipine even at depolarized holding potentials mvabstract truncated at words
2310664,evidence now exists for the phosphorylation of all the L1 proteins of the myofibril with the exception of troponin c although uncertainty exists in most cases about the role of phosphorylation of the myofibrillar proteins there is substantial evidence that phosphorylation of serine of rabbit cardiac troponin i leads to a lowering of the sensitivity of the AM atpase to ca this process is of special importance in the physiological response of the HR to adrenalin a well defined enzymic system involving a specific kinase and a phosphatase is present in most muscles for the phosphorylation and dephosphorylation of the p CS chain RII l or dtnb MLC S1 lightchain kinase is very AS in fast skeletal muscles and although it is unlikely that phosphorylation followed by dephosphorylation of the p light chain occurs fast enough to be synchronous with the contractile cycle phosphorylation may have a modulatory role in this tissue both posttetanic potentiation and the reduced AM atpase turnover rate observed in EDL muscle as a consequence of sustained forceful contraction have been suggested by different investigators to be consequences of p light chain phosphorylation nevertheless unequivocal evidence associating either of these effects with phosphorylation is not yet available kinase activity is also high in vertebrate smooth muscle and it has been suggested that phosphorylation of the p light chain is the process that activates the acto ease of visual recognition based on these comparative studies the modified ziehlneelsen carbolfuchsin stain on formalinpreserved stool is recommended for the recovery and identification of cryptosporidium,[107],['light chain of myosin'],MLC,evidence now exists for the phosphorylation of all the L1 proteins of the myofibril with the exception of troponin c although uncertainty exists in most cases about the role of phosphorylation of the myofibrillar proteins there is substantial evidence that phosphorylation of serine of rabbit cardiac troponin i leads to a lowering of the sensitivity of the AM atpase to ca this process is of special importance in the physiological response of the HR to adrenalin a well defined enzymic system involving a specific kinase and a phosphatase is present in most muscles for the phosphorylation and dephosphorylation of the p CS chain RII l or dtnb [MASK] S1 lightchain kinase is very AS in fast skeletal muscles and although it is unlikely that phosphorylation followed by dephosphorylation of the p light chain occurs fast enough to be synchronous with the contractile cycle phosphorylation may have a modulatory role in this tissue both posttetanic potentiation and the reduced AM atpase turnover rate observed in EDL muscle as a consequence of sustained forceful contraction have been suggested by different investigators to be consequences of p light chain phosphorylation nevertheless unequivocal evidence associating either of these effects with phosphorylation is not yet available kinase activity is also high in vertebrate smooth muscle and it has been suggested that phosphorylation of the p light chain is the process that activates the acto ease of visual recognition based on these comparative studies the modified ziehlneelsen carbolfuchsin stain on formalinpreserved stool is recommended for the recovery and identification of cryptosporidium
12273264,to investigate the relationship of the apoptosis regulators XIAP xiap and ubiquitin specific protease usp with clinical parameters survival and response to chemotherapy in patients with advanced stages of nonsmall cell lung CA nsclc,[8],['xlinked inhibitor of apoptosis'],XIAP,to investigate the relationship of the apoptosis regulators [MASK] xiap and ubiquitin specific protease usp with clinical parameters survival and response to chemotherapy in patients with advanced stages of nonsmall cell lung CA nsclc
5007224,there were studied individual typological peculiarities of the genesis of the genesis of years old boys the state of their respiration and their heart activities according to these experiments there was stated the possibility of the complex appreciation of the biological tempos of genesis of the senior grades pupils on the bases of PCS and somatic genesis and sexual maturity as a result of such differentiation of year old boys there will appear typological groupsfast normal and slow types of genesis which quite differ by the majority of grades besides these CG differ by the SF-36 of CR system boys with fast tempos of genesis are closer by the functioning peculiarities of CR system to the normal tempos of genesis which are understudy the group with the slow genesis is quite different from the groups with the fast and normal genesis,[97],['cardiorespiratory'],CR,there were studied individual typological peculiarities of the genesis of the genesis of years old boys the state of their respiration and their heart activities according to these experiments there was stated the possibility of the complex appreciation of the biological tempos of genesis of the senior grades pupils on the bases of PCS and somatic genesis and sexual maturity as a result of such differentiation of year old boys there will appear typological groupsfast normal and slow types of genesis which quite differ by the majority of grades besides these CG differ by the SF-36 of [MASK] system boys with fast tempos of genesis are closer by the functioning peculiarities of [MASK] system to the normal tempos of genesis which are understudy the group with the slow genesis is quite different from the groups with the fast and normal genesis
9893238,an in vitro CC approach was evaluated for its ability to provide data pertinent to the assessment of skin irritation potential the hypothesis of this RPA is that a direct toxic insult to the epidermal keratinocyte in vivo may lead to release of inflammatory mediators which are responsible for initiation of a local primary skin irritant reaction this paper presents data on the cytotoxic potential of a number of structurally unrelated chemicals chloroform ME butoxyethylacetate toluene butanol acetaldehyde nhexane sodium dodecyl sulfate benzalkonium chloride silver nitrate DBT and tributyltin chloride cytotoxicity neutral red uptake and intracellular acid phosphatase activity of a number of structurally unrelated chemicals representative of a wide range of skin irritation potential was evaluated in cultures of rat and human epidermal KCs the sensitivity of human and rat KCs to the test chemicals was very similar irrespective of the endpoint of cytotoxicity the neutral red uptake CA appeared more generally applicable to the diverse range of chemical structures represented in this T0 since not all test chemicals elicited an early increase in intracellular acid phosphatase activity the results were very encouraging as a good correlation was evident between cytotoxicity in rat KCs and the degree of erythema and oedema associated with an in vivo skin irritant response in rabbits keratinocyte cytotoxicity data may provide an indication of the potential of a chemical to induce a severe skin irritant reaction or if a chemical is more likely to be a marginal or nonirritant however the data illustrate that such assays appear unable to discriminate correctly between more subtle classes of irritancy such as nonirritant mild moderate or severe available human in vivo skin irritation data were insufficient to conclude which cell type is preferable for evaluation of human skin irritation potential,[86],['dibutyltin dichloride'],DBT,an in vitro CC approach was evaluated for its ability to provide data pertinent to the assessment of skin irritation potential the hypothesis of this RPA is that a direct toxic insult to the epidermal keratinocyte in vivo may lead to release of inflammatory mediators which are responsible for initiation of a local primary skin irritant reaction this paper presents data on the cytotoxic potential of a number of structurally unrelated chemicals chloroform ME butoxyethylacetate toluene butanol acetaldehyde nhexane sodium dodecyl sulfate benzalkonium chloride silver nitrate [MASK] and tributyltin chloride cytotoxicity neutral red uptake and intracellular acid phosphatase activity of a number of structurally unrelated chemicals representative of a wide range of skin irritation potential was evaluated in cultures of rat and human epidermal KCs the sensitivity of human and rat KCs to the test chemicals was very similar irrespective of the endpoint of cytotoxicity the neutral red uptake CA appeared more generally applicable to the diverse range of chemical structures represented in this T0 since not all test chemicals elicited an early increase in intracellular acid phosphatase activity the results were very encouraging as a good correlation was evident between cytotoxicity in rat KCs and the degree of erythema and oedema associated with an in vivo skin irritant response in rabbits keratinocyte cytotoxicity data may provide an indication of the potential of a chemical to induce a severe skin irritant reaction or if a chemical is more likely to be a marginal or nonirritant however the data illustrate that such assays appear unable to discriminate correctly between more subtle classes of irritancy such as nonirritant mild moderate or severe available human in vivo skin irritation data were insufficient to conclude which cell type is preferable for evaluation of human skin irritation potential
8335290,equatorial organization of S1 ii and actin has been recognized as a universal event in cytokinesis of animal cells current models for the formation of equatorial SC favor either directional cortical transport toward the equator or localized de novo assembly however this process has never been analyzed directly in dividing rat cells at a high resolution here we applied TIR fluorescence TSM tirfm coupled with spatial temporal ICS stics and a new analytical RPA termed temporal differential microscopy tdm to image the dynamics of myosin ii and actin during the assembly of equatorial SC our results indicated distinct and at least partially independent mechanisms for the early equatorial recruitment of S1 and AFs cortical S1 showed no detectable directional flow during early cytokinesis in addition to equatorial assembly we showed that localized inhibition of disassembly contributed to the formation of the equatorial S1 band in contrast to myosin AFs underwent a striking flux toward the equator myosin MA was required for the actin flux but not for actin concentration in the furrow suggesting that there was a fluxindependent de novo mechanism for actin recruitment along the equator our results indicate that cytokinesis involves signals that regulate both assembly and disassembly MICs and argue against mechanisms that are coupled to global cortical movements,[112],['actin filaments'],AFs,equatorial organization of S1 ii and actin has been recognized as a universal event in cytokinesis of animal cells current models for the formation of equatorial SC favor either directional cortical transport toward the equator or localized de novo assembly however this process has never been analyzed directly in dividing rat cells at a high resolution here we applied TIR fluorescence TSM tirfm coupled with spatial temporal ICS stics and a new analytical RPA termed temporal differential microscopy tdm to image the dynamics of myosin ii and actin during the assembly of equatorial SC our results indicated distinct and at least partially independent mechanisms for the early equatorial recruitment of S1 and [MASK] cortical S1 showed no detectable directional flow during early cytokinesis in addition to equatorial assembly we showed that localized inhibition of disassembly contributed to the formation of the equatorial S1 band in contrast to myosin [MASK] underwent a striking flux toward the equator myosin MA was required for the actin flux but not for actin concentration in the furrow suggesting that there was a fluxindependent de novo mechanism for actin recruitment along the equator our results indicate that cytokinesis involves signals that regulate both assembly and disassembly MICs and argue against mechanisms that are coupled to global cortical movements
